Sentence,Tokens,Lemmas,POS,Chapter,Labels
"— Ты, говорят, эти дни ужасно волочился за моей княжной?",ты;говорят;эти;дни;ужасно;волочился;за;моей;княжной,ты;говорить;этот;день;ужасно;волочиться;за;мой;княжна,SPRO;V;APRO;S;ADV;V;PR;APRO;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0
— сказал он довольно небрежно и не глядя на меня.,сказал;он;довольно;небрежно;и;не;глядя;на;меня,сказать;он;довольно;небрежно;и;не;глядеть;на;я,V;SPRO;ADV;ADV;CONJ;PART;V;PR;SPRO,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0
— Где нам дуракам чай пить!,где;нам;дуракам;чай;пить,где;мы;дурак;чай;пить,ADVPRO;SPRO;S;S;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0
"— отвечал я ему, повторяя любимую поговорку одного из самых ловких повес прошлого времени, воспетого некогда Пушкиным.",отвечал;я;ему;повторяя;любимую;поговорку;одного;из;самых;ловких;повес;прошлого;времени;воспетого;некогда;пушкиным,отвечать;я;он;повторять;любимый;поговорка;один;из;самый;ловкий;повеса;прошлое;время;воспевать;некогда;пушкин,V;SPRO;SPRO;V;A;S;APRO;PR;APRO;A;S;S;S;V;ADV;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"— Скажи-ка, хорошо на мне сидит мундир?..",скажи;ка;хорошо;на;мне;сидит;мундир;?..,сказать;ка;хорошо;на;я;сидеть;мундир;?..,V;PART;ADV;PR;SPRO;V;S;,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0
"Ох, проклятый жид!..",ох;проклятый;жид;!..,ох;проклятый;жид;!..,INTJ;A;S;,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0
как под мышками режет!..,как;под;мышками;режет;!..,как;под;мышка;резать;!..,ADVPRO;PR;S;V;,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0
Нет ли у тебя духов?,нет;ли;у;тебя;духов,нет;ли;у;ты;духи,ADV;PART;PR;SPRO;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0
"— Помилуй, чего тебе еще?",помилуй;чего;тебе;еще,помиловать;что;ты;еще,V;SPRO;SPRO;ADV,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0
от тебя и так уж несет розовой помадой... — Ничего.,от;тебя;и;так;уж;несет;розовой;помадой;... ;ничего,от;ты;и;так;уж;нести;розовый;помада;... ;ничего,PR;SPRO;CONJ;ADVPRO;PART;V;A;S;;ADV,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0
"Дай-ка сюда... Он налил себе полсклянки за галстух, в носовой платок, на рукава.",дай;ка;сюда;... ;он;налил;себе;полсклянки;за;галстух;в;носовой;платок;на;рукава,давать;ка;сюда;... ;он;наливать;себя;полсклянка;за;галстуха;в;носовой;платок;на;рукав,V;PART;ADVPRO;;SPRO;V;SPRO;S;PR;S;PR;A;S;PR;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
— Ты будешь танцевать?,ты;будешь;танцевать,ты;быть;танцевать,SPRO;V;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0
— спросил он.,спросил;он,спрашивать;он,V;SPRO,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0
— Не думаю.,не;думаю,не;думать,PART;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0
"— Я боюсь, что мне с княжной придется начинать мазурку, — я не знаю почти ни одной фигуры... — А ты звал ее на мазурку?","я;боюсь;что;мне;с;княжной;придется;начинать;мазурку;, — ;я;не;знаю;почти;ни;одной;фигуры;... ;а;ты;звал;ее;на;мазурку","я;бояться;что;я;с;княжна;приходиться;начинать;мазурка;, — ;я;не;знать;почти;ни;один;фигура;... ;а;ты;звать;она;на;мазурка",SPRO;V;CONJ;SPRO;PR;S;V;V;S;;SPRO;PART;V;ADV;CONJ;APRO;S;;CONJ;SPRO;V;SPRO;PR;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"— Нет еще... — Смотри, чтоб тебя не предупредили... — В самом деле, — сказал он, ударив себя по лбу.","нет;еще;... ;смотри;чтоб;тебя;не;предупредили;... ;в;самом;деле;, — ;сказал;он;ударив;себя;по;лбу","нет;еще;... ;смотреть;чтоб;ты;не;предупреждать;... ;в;самый;дело;, — ;сказать;он;ударять;себя;по;лоб",PART;ADV;;V;CONJ;SPRO;PART;V;;PR;APRO;S;;V;SPRO;V;SPRO;PR;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
— Прощай... пойду дожидаться ее у подъезда.,прощай;...;пойду;дожидаться;ее;у;подъезда,прощай;...;пойти;дожидаться;она;у;подъезд,INTJ;;V;V;SPRO;PR;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0
— Он схватил фуражку и побежал.,он;схватил;фуражку;и;побежал,он;схватывать;фуражка;и;побежать,SPRO;V;S;CONJ;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0
Через полчаса и я отправился.,через;полчаса;и;я;отправился,через;полчаса;и;я;отправляться,PR;S;CONJ;SPRO;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0
"На улице было темно и пусто; вокруг собрания или трактира, как угодно, теснился народ; окна его светились; звуки полковой музыки доносил ко мне вечерний ветер.",на;улице;было;темно;и;пусто;вокруг;собрания;или;трактира;как;угодно;теснился;народ;окна;его;светились;звуки;полковой;музыки;доносил;ко;мне;вечерний;ветер,на;улица;быть;темно;и;пусто;вокруг;собрание;или;трактир;как;угодно;тесниться;народ;окно;его;светиться;звук;полковой;музыка;доносить;ко;я;вечерний;ветер,PR;S;V;ADV;CONJ;ADV;PR;S;CONJ;S;CONJ;PART;V;S;S;APRO;V;S;A;S;V;PR;SPRO;A;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Я шел медленно; мне было грустно.,я;шел;медленно;мне;было;грустно,я;идти;медленно;я;быть;грустно,SPRO;V;ADV;SPRO;V;ADV,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0
"Неужели, думал я, мое единственное назначение на земле — разрушать чужие надежды?",неужели;думал;я;мое;единственное;назначение;на;земле;разрушать;чужие;надежды,неужели;думать;я;мой;единственный;назначение;на;земля;разрушать;чужой;надежда,PART;V;SPRO;APRO;A;S;PR;S;V;A;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0
"С тех пор, как я живу и действую, судьба как-то всегда приводила меня к развязке чужих драм, как будто без меня никто не мог бы ни умереть, ни прийти в отчаяние.",с;тех;пор;как;я;живу;и;действую;судьба;как-то;всегда;приводила;меня;к;развязке;чужих;драм;как;будто;без;меня;никто;не;мог;бы;ни;умереть;ни;прийти;в;отчаяние,с;тот;пора;как;я;жить;и;действовать;судьба;как-то;всегда;приводить;я;к;развязка;чужой;драма;как;будто;без;я;никто;не;мочь;бы;ни;умирать;ни;приходить;в;отчаяние,PR;APRO;S;CONJ;SPRO;V;CONJ;V;S;ADVPRO;ADVPRO;V;SPRO;PR;S;A;S;ADVPRO;PART;PR;SPRO;SPRO;PART;V;PART;CONJ;V;CONJ;V;PR;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Я был необходимое лицо пятого акта; невольно я разыгрывал жалкую роль палача или предателя.,я;был;необходимое;лицо;пятого;акта;невольно;я;разыгрывал;жалкую;роль;палача;или;предателя,я;быть;необходимый;лицо;пятый;акт;невольно;я;разыгрывать;жалкий;роль;палач;или;предатель,SPRO;V;A;S;ANUM;S;ADV;SPRO;V;A;S;S;CONJ;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0
Какую цель имела на это судьба?..,какую;цель;имела;на;это;судьба;?..,какой;цель;иметь;на;это;судьба;?..,APRO;S;V;PR;SPRO;S;,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0
"Уж не назначен ли я ею в сочинители мещанских трагедий и семейных романов, — или в сотрудники поставщику повестей, например для «Библиотеки для чтения?»... Почему знать?..","уж;не;назначен;ли;я;ею;в;сочинители;мещанских;трагедий;и;семейных;романов;, — ;или;в;сотрудники;поставщику;повестей;например;для;библиотеки;для;чтения;?»... ;почему;знать;?..","уж;не;назначать;ли;я;она;в;сочинитель;мещанский;трагедия;и;семейный;роман;, — ;или;в;сотрудник;поставщик;повесть;например;для;библиотека;для;чтение;?»... ;почему;знать;?..",PART;PART;V;PART;SPRO;SPRO;PR;S;A;S;CONJ;A;S;;CONJ;PR;S;S;S;ADV;PR;S;PR;S;;ADVPRO;V;,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Мало ли людей, начиная жизнь, думают кончить ее как Александр Великий или лорд Байрон, а между тем целый век остаются титюлярными советниками?..",мало;ли;людей;начиная;жизнь;думают;кончить;ее;как;александр;великий;или;лорд;байрон;а;между;тем;целый;век;остаются;титюлярными;советниками;?..,мало;ли;человек;начинать;жизнь;думать;кончать;она;как;александр;великий;или;лорд;байрон;а;между;то;целый;век;оставаться;титюлярный;советник;?..,ADV;PART;S;V;S;V;V;SPRO;CONJ;S;A;CONJ;S;S;CONJ;PR;SPRO;A;S;V;A;S;,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Взойдя в залу, я спрятался в толпе мужчин и начал делать свои наблюдения.",взойдя;в;залу;я;спрятался;в;толпе;мужчин;и;начал;делать;свои;наблюдения,восходить;в;зала;я;спрятаться;в;толпа;мужчина;и;начинать;делать;свой;наблюдение,V;PR;S;SPRO;V;PR;S;S;CONJ;V;V;APRO;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0
"Грушницкий стоял возле княжны и что-то говорил с большим жаром; она его рассеянно слушала, смотрела по сторонам, приложив веер к губкам; на лице ее изображалось нетерпение, глаза ее искали кругом кого-то; я тихонько подошел сзади, чтоб подслушать их разговор.",грушницкий;стоял;возле;княжны;и;что-то;говорил;с;большим;жаром;она;его;рассеянно;слушала;смотрела;по;сторонам;приложив;веер;к;губкам;на;лице;ее;изображалось;нетерпение;глаза;ее;искали;кругом;кого-то;я;тихонько;подошел;сзади;чтоб;подслушать;их;разговор,грушницкий;стоять;возле;княжна;и;что-то;говорить;с;большой;жар;она;он;рассеянно;слушать;смотреть;по;сторона;прикладывать;веер;к;губка;на;лицо;ее;изображаться;нетерпение;глаз;ее;искать;кругом;кто-то;я;тихонько;подходить;сзади;чтоб;подслушивать;их;разговор,S;V;PR;S;CONJ;SPRO;V;PR;A;S;SPRO;SPRO;ADV;V;V;PR;S;V;S;PR;S;PR;S;APRO;V;S;S;APRO;V;PR;SPRO;SPRO;ADV;V;ADV;CONJ;V;APRO;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"— Вы меня мучите, княжна, — говорил Грушницкий: — вы ужасно переменились с тех пор, как я вас не видал... — Вы также переменились, — отвечала она, бросив на него быстрый взгляд, в котором он не умел разобрать тайной насмешки.","вы;меня;мучите;княжна;, — ;говорил;грушницкий;: — ;вы;ужасно;переменились;с;тех;пор;как;я;вас;не;видал;... ;вы;также;переменились;, — ;отвечала;она;бросив;на;него;быстрый;взгляд;в;котором;он;не;умел;разобрать;тайной;насмешки","вы;я;мучить;княжна;, — ;говорить;грушницкий;: — ;вы;ужасно;перемениться;с;тот;пора;как;я;вы;не;видать;... ;вы;также;перемениться;, — ;отвечать;она;бросать;на;он;быстрый;взгляд;в;который;он;не;уметь;разбирать;тайный;насмешка",SPRO;SPRO;V;S;;V;S;;SPRO;ADV;V;PR;APRO;S;CONJ;SPRO;SPRO;PART;V;;SPRO;ADV;V;;V;SPRO;V;PR;SPRO;A;S;PR;APRO;SPRO;PART;V;V;A;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
— Я?,я,я,SPRO,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0
я переменился?,я;переменился,я;перемениться,SPRO;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0
"— О, никогда!",о;никогда,о;никогда,INTJ;ADVPRO,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0
"Вы знаете, что это невозможно!",вы;знаете;что;это;невозможно,вы;знать;что;это;невозможный,SPRO;V;CONJ;SPRO;A,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0
"Кто видел вас однажды, тот навеки унесет с собою ваш божественный образ... — Перестаньте!..",кто;видел;вас;однажды;тот;навеки;унесет;с;собою;ваш;божественный;образ;... ;перестаньте;!..,кто;видеть;вы;однажды;тот;навеки;уносить;с;себя;ваш;божественный;образ;... ;переставать;!..,SPRO;V;SPRO;ADV;APRO;ADV;V;PR;SPRO;APRO;A;S;;V;,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"— Отчего же вы теперь не хотите слушать того, чему еще недавно, и так часто, внимали благосклонно?..",отчего;же;вы;теперь;не;хотите;слушать;того;чему;еще;недавно;и;так;часто;внимали;благосклонно;?..,отчего;же;вы;теперь;не;хотеть;слушать;то;что;еще;недавно;и;так;часто;внимать;благосклонно;?..,ADVPRO;PART;SPRO;ADV;PART;V;V;SPRO;SPRO;ADV;ADV;CONJ;ADVPRO;ADV;V;ADV;,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"— Потому что я не люблю повторений, — отвечала она, смеясь.","потому;что;я;не;люблю;повторений;, — ;отвечала;она;смеясь","потому;что;я;не;любить;повторение;, — ;отвечать;она;смеяться",ADVPRO;CONJ;SPRO;PART;V;S;;V;SPRO;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0
"— О, я горько ошибся!..",о;я;горько;ошибся;!..,о;я;горько;ошибаться;!..,INTJ;SPRO;ADV;V;,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0
"Я думал, безумный, что по крайней мере эти эполеты дадут мне право надеяться... Нет, лучше бы мне век остаться в этой презренной солдатской шинели, которой, может быть, я был обязан вашим вниманием... — В самом деле, вам шинель гораздо более к лицу... В это время я подошел и поклонился княжне; она немножко покраснела и быстро проговорила: — Не правда ли, мсье Печорин, что серая шинель гораздо больше идет к мсье Грушницкому?..",я;думал;безумный;что;по;крайней;мере;эти;эполеты;дадут;мне;право;надеяться;... ;нет;лучше;бы;мне;век;остаться;в;этой;презренной;солдатской;шинели;которой;может;быть;я;был;обязан;вашим;вниманием;... ;в;самом;деле;вам;шинель;гораздо;более;к;лицу;... ;в;это;время;я;подошел;и;поклонился;княжне;она;немножко;покраснела;и;быстро;проговорила;: — ;не;правда;ли;мсье;печорин;что;серая;шинель;гораздо;больше;идет;к;мсье;грушницкому;?..,я;думать;безумный;что;по;крайний;мера;этот;эполет;давать;я;право;надеяться;... ;нет;хорошо;бы;я;век;оставаться;в;этот;презренный;солдатский;шинель;который;мочь;быть;я;быть;обязанный;ваш;внимание;... ;в;самый;дело;вы;шинель;гораздо;много;к;лицо;... ;в;этот;время;я;подходить;и;поклониться;княжна;она;немножко;покраснеть;и;быстро;проговаривать;: — ;не;правда;ли;мсье;печорин;что;серый;шинель;гораздо;много;идти;к;мсье;грушницкий;?..,SPRO;V;A;CONJ;PR;A;S;APRO;S;V;SPRO;S;V;;PART;ADV;PART;SPRO;S;V;PR;APRO;A;A;S;APRO;V;V;SPRO;V;A;APRO;S;;PR;APRO;S;SPRO;S;ADV;ADV;PR;S;;PR;APRO;S;SPRO;V;CONJ;V;S;SPRO;ADV;V;CONJ;ADV;V;;PART;ADV;PART;S;S;CONJ;A;S;ADV;ADV;V;PR;S;S;,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"— Я с вами не согласен, — отвечал я: — в мундире он еще моложавее.","я;с;вами;не;согласен;, — ;отвечал;я;: — ;в;мундире;он;еще;моложавее","я;с;вы;не;согласный;, — ;отвечать;я;: — ;в;мундир;он;еще;моложавый",SPRO;PR;SPRO;PART;A;;V;SPRO;;PR;S;SPRO;ADV;A,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Грушницкий не вынес этого удара: как все мальчики, он имеет претензию быть стариком; он думает, что на его лице глубокие следы страстей заменяют отпечаток лет.",грушницкий;не;вынес;этого;удара;как;все;мальчики;он;имеет;претензию;быть;стариком;он;думает;что;на;его;лице;глубокие;следы;страстей;заменяют;отпечаток;лет,грушницкий;не;вынести;этот;удар;как;весь;мальчик;он;иметь;претензия;быть;старик;он;думать;что;на;его;лицо;глубокий;след;страсть;заменять;отпечаток;год,S;PART;V;APRO;S;CONJ;APRO;S;SPRO;V;S;V;S;SPRO;V;CONJ;PR;APRO;S;A;S;S;V;S;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Он на меня бросил бешеный взгляд, топнул ногою и отошел прочь.",он;на;меня;бросил;бешеный;взгляд;топнул;ногою;и;отошел;прочь,он;на;я;бросать;бешеный;взгляд;топнуть;нога;и;отходить;прочь,SPRO;PR;SPRO;V;A;S;V;S;CONJ;V;ADV,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0
"— А признайтесь, — сказал я княжне, — что хотя он всегда был очень смешон, но еще недавно он вам казался интересен... в серой шинели?..","а;признайтесь;, — ;сказал;я;княжне;, — ;что;хотя;он;всегда;был;очень;смешон;но;еще;недавно;он;вам;казался;интересен;...;в;серой;шинели;?..","а;признаваться;, — ;сказать;я;княжна;, — ;что;хотя;он;всегда;быть;очень;смешной;но;еще;недавно;он;вы;казаться;интересный;...;в;серый;шинель;?..",CONJ;V;;V;SPRO;S;;CONJ;PART;SPRO;ADVPRO;V;ADV;A;CONJ;ADV;ADV;SPRO;SPRO;V;A;;PR;A;S;,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Она потупила глаза и не отвечала.,она;потупила;глаза;и;не;отвечала,она;потуплять;глаз;и;не;отвечать,SPRO;V;S;CONJ;PART;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0
"Грушницкий целый вечер преследовал княжну, танцевал или с нею, или vis-à-vis; он пожирал ее глазами, вздыхал и надоедал ей мольбами и упреками.",грушницкий;целый;вечер;преследовал;княжну;танцевал;или;с;нею;или;vis;à;vis;он;пожирал;ее;глазами;вздыхал;и;надоедал;ей;мольбами;и;упреками,грушницкий;целый;вечер;преследовать;княжна;танцевать;или;с;она;или;vis;à;vis;он;пожирать;ее;глаз;вздыхать;и;надоедать;она;мольба;и;упрек,S;A;S;V;S;V;CONJ;PR;SPRO;CONJ;;;;SPRO;V;APRO;S;V;CONJ;V;SPRO;S;CONJ;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
После третьей кадрили она его уж ненавидела.,после;третьей;кадрили;она;его;уж;ненавидела,после;третий;кадриль;она;он;уж;ненавидеть,PR;ANUM;S;SPRO;SPRO;PART;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0
"— Я этого не ожидал от тебя, — сказал он, подойдя ко мне и взяв меня за руку.","я;этого;не;ожидал;от;тебя;, — ;сказал;он;подойдя;ко;мне;и;взяв;меня;за;руку","я;это;не;ожидать;от;ты;, — ;сказать;он;подходить;ко;я;и;взять;я;за;рука",SPRO;SPRO;PART;V;PR;SPRO;;V;SPRO;V;PR;SPRO;CONJ;V;SPRO;PR;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
— Чего?,чего,что,SPRO,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0
— Ты с нею танцуешь мазурку?,ты;с;нею;танцуешь;мазурку,ты;с;она;танцевать;мазурка,SPRO;PR;SPRO;V;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0
— спросил он торжественным голосом.,спросил;он;торжественным;голосом,спрашивать;он;торжественный;голос,V;SPRO;A;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0
"— Она мне призналась... — Ну, так что ж?",она;мне;призналась;... ;ну;так;что;ж,она;я;признаваться;... ;ну;так;что;ж,SPRO;SPRO;V;;PART;ADVPRO;CONJ;PART,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0
А разве это секрет?,а;разве;это;секрет,а;разве;это;секрет,CONJ;PART;SPRO;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0
"— Разумеется, я должен был этого ожидать от девчонки... от кокетки... Уж я отомщу!",разумеется;я;должен;был;этого;ожидать;от;девчонки;...;от;кокетки;... ;уж;я;отомщу,разумеется;я;должный;быть;это;ожидать;от;девчонка;...;от;кокетка;... ;уж;я;отомщать,ADV;SPRO;A;V;SPRO;V;PR;S;;PR;S;;PART;SPRO;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"— Пеняй на свою шинель или на свои эполеты, а зачем же обвинять ее!",пеняй;на;свою;шинель;или;на;свои;эполеты;а;зачем;же;обвинять;ее,пенять;на;свой;шинель;или;на;свой;эполета;а;зачем;же;обвинять;она,V;PR;APRO;S;CONJ;PR;APRO;S;CONJ;ADVPRO;PART;V;SPRO,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0
"Чем она виновата, что ты ей больше не нравишься?..",чем;она;виновата;что;ты;ей;больше;не;нравишься;?..,что;она;виноватый;что;ты;она;больше;не;нравиться;?..,SPRO;SPRO;A;CONJ;SPRO;SPRO;ADV;PART;V;,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0
— Зачем же подавать надежды?,зачем;же;подавать;надежды,зачем;же;подавать;надежда,ADVPRO;PART;V;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0
— Зачем же ты надеялся?,зачем;же;ты;надеялся,зачем;же;ты;надеяться,ADVPRO;PART;SPRO;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0
"— Желать и добиваться чего-нибудь — понимаю, а кто ж надеется?",желать;и;добиваться;чего-нибудь;понимаю;а;кто;ж;надеется,желать;и;добиваться;что-нибудь;понимать;а;кто;ж;надеяться,V;CONJ;V;SPRO;V;CONJ;SPRO;PART;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0
"— Ты выиграл пари, — только не совсем, — сказал он, злобно улыбаясь.","ты;выиграл;пари;, — ;только;не;совсем;, — ;сказал;он;злобно;улыбаясь","ты;выигрывать;пари;, — ;только;не;совсем;, — ;сказать;он;злобно;улыбаться",SPRO;V;S;;PART;PART;ADV;;V;SPRO;ADV;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0
Мазурка началась.,мазурка;началась,мазурка;начинаться,S;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0
"Грушницкий выбирал одну только княжну, другие кавалеры поминутно ее выбирали: это явно был заговор против меня.",грушницкий;выбирал;одну;только;княжну;другие;кавалеры;поминутно;ее;выбирали;это;явно;был;заговор;против;меня,грушницкий;выбирать;один;только;княжна;другой;кавалер;поминутно;она;выбирать;это;явно;быть;заговор;против;я,S;V;APRO;PART;S;APRO;S;ADV;SPRO;V;SPRO;ADV;V;S;PR;SPRO,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Тем лучше.,тем;лучше,тем;хорошо,CONJ;ADV,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0
"Ей хочется говорить со мною, ей мешают, — ей захочется вдвое более.","ей;хочется;говорить;со;мною;ей;мешают;, — ;ей;захочется;вдвое;более","она;хотеться;говорить;со;я;она;мешать;, — ;она;захотеться;вдвое;более",SPRO;V;V;PR;SPRO;SPRO;V;;SPRO;V;ADV;ADV,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0
"Я раза два пожал ее руку; во второй раз она ее выдернула, не говоря ни слова.",я;раза;два;пожал;ее;руку;во;второй;раз;она;ее;выдернула;не;говоря;ни;слова,я;раз;два;пожимать;ее;рука;во;второй;раз;она;она;выдергивать;не;говорить;ни;слово,SPRO;S;NUM;V;APRO;S;PR;ANUM;S;SPRO;SPRO;V;PART;V;PART;S,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"— Я дурно буду спать эту ночь, — сказала она мне, когда мазурка кончилась.","я;дурно;буду;спать;эту;ночь;, — ;сказала;она;мне;когда;мазурка;кончилась","я;дурно;быть;спать;этот;ночь;, — ;сказать;она;я;когда;мазурка;кончаться",SPRO;ADV;V;V;APRO;S;;V;SPRO;SPRO;CONJ;S;V,Герой нашего времени. Часть 2. Окончание журнала Печорина. Княжна Мери,0;0;0;0;0;0;0;0;0;0;0;0;0
